"ABSTIMMUNGSTAG","VORLAGE_KURZBEZ","STAT_VORLAGE_ID","ABSTIMMUNGSART_BEZ","ANNEHMENDE_GEBIETE","ABLEHNENDE_GEBIETE","JA_ANTEIL_PROZENT","Policy_Feld"
2000-03-12,"Ausgabenbremse: Kantonsverfassung: Aenderungvon Art. 31 und 31a",1987,"kantonal",171,0,76.93,"Finanzen"
2000-03-12,"Steuergesetz: Aenderung",1988,"kantonal",171,0,79.09,"Finanzen"
2000-03-12,"Gesetz über die Pädagogische Hochschule",1989,"kantonal",90,81,55.17,"Bildung"
2000-03-12,"Volksinitiative «für die Halbierung des Strassenverkehrs zur Erhaltung von Lebensräumen»",168,"eidgenössisch",0,160,26.66,"Umwelt+Verkehr"
2000-03-12,"Volksinitiative «zum Schutze des Menschen vor Manipulationen in der Fortpflanzungstechnologie»",167,"eidgenössisch",0,160,30.37,"Kirche+Staat"
2000-03-12,"Volksinitiative «für eine gerechte Vertretung der Frauen in den Bundesbehörden (Initiative 3. März)»",166,"eidgenössisch",0,160,19.55,"Demokratie"
2000-03-12,"Bundesbeschluss über die Justizreform",164,"eidgenössisch",160,0,89.8,"Law+Order"
2000-03-12,"Volksinitiative für Beschleunigung der direkten Demokratie (Behandlungsfristen für Volksinitiativen)",165,"eidgenössisch",1,159,32.53,"Demokratie"
2000-05-21,"Bundesbeschluss zum sektoriellen Abkommen zwischen Eidgenossenschaft und EG",169,"eidgenössisch",144,16,69.94,"Wirtschaft"
2000-09-24,"Flexiblere Regelung für den Bau von Radwegen im Strassengesetz",1991,"kantonal",91,80,49.82,"Umwelt+Verkehr"
2000-09-24,"Zeitgemässe Liberalisierung der Vorschriften über die öffentlichen Ruhetage und die Öffnungszeiten",1990,"kantonal",138,33,55.95,"Wirtschaft"
2000-09-24,"Verfassungsartikel über eine Energielenkungsabgabe für die Umwelt",173,"eidgenössisch",33,127,51.71,"Umwelt+Verkehr"
2000-09-24,"Volksinitiative «Mehr Rechte für das Volk dank dem Referendum mit Gegenvorschlag»",175,"eidgenössisch",0,160,34.4,"Demokratie"
2000-09-24,"Volksinitiative «für eine Regelung der Zuwanderung»",174,"eidgenössisch",6,154,35.06,"Migrarion"
2000-09-24,"Anpassung des Gesetzes über die Zusatzleistungen zur AHV/IV",1992,"kantonal",38,133,44.14,"Soziales"
2000-09-24,"Solarinitiative und Gegenvorschlag: Stichfrage (""Ja"" = Initiative)",172,"eidgenössisch",51,109,34.34,"Umwelt+Verkehr"
2000-09-24,"Volksinitiative «für einen Solarrappen»",170,"eidgenössisch",1,159,38.26,"Umwelt+Verkehr"
2000-09-24,"Verfassungsartikel über eine Förderabgabe für erneuerbare Energien",171,"eidgenössisch",27,133,51.64,"Umwelt+Verkehr"
2000-11-26,"Volksinitiative «für ein flexibles Rentenalter ab 62 für Frau und Mann»",177,"eidgenössisch",0,160,40.3,"Soziales"
2000-11-26,"Volksinitiative «für eine Flexibilisierung der AHV – gegen die Erhöhung des Rentenalters für Frauen»",176,"eidgenössisch",0,160,34.6,"Soziales"
2000-11-26,"Volksinitiative «für tiefere Spitalkosten»",179,"eidgenössisch",0,160,16.26,"Gesundheit"
2000-11-26,"Volksinitiative «Sparen beim Militär und der Gesamtverteidigung»",178,"eidgenössisch",0,160,37.07,"Sicherheit+Armee"
2000-11-26,"Bundespersonalgesetz",180,"eidgenössisch",160,0,73.98,"Soziales"
2001-03-04,"Volksinitiative «für tiefere Arzneimittelpreise»",182,"eidgenössisch",0,160,36.39,"Gesundheit"
2001-03-04,"Volksinitiative «für mehr Verkehrssicherheit durch Tempo 30 innerorts mit Ausnahmen»",183,"eidgenössisch",0,160,24.9,"Umwelt+Verkehr"
2001-03-04,"Volksinitiative «Ja zu Europa!»",181,"eidgenössisch",0,160,23.64,"Andere"
2001-06-10,"Bundesgesetz über die Armee und die Militärverwaltung (Ausbildungszusammenarbeit)",185,"eidgenössisch",81,79,53.82,"Sicherheit+Armee"
2001-06-10,"Gesetz über die Neuordnung der Elektrizitätsversorgung",1993,"kantonal",93,78,48.58,"Wirtschaft"
2001-06-10,"Bundesbeschluss über die Aufhebung der Genehmigungspflicht für die Errichtung von Bistümern",186,"eidgenössisch",156,4,64.41,"Kirche+Staat"
2001-06-10,"Bundesgesetz über die Armee und die Militärverwaltung (Bewaffnung)",184,"eidgenössisch",80,80,53.46,"Sicherheit+Armee"
2001-09-23,"Kredit für Ausbau von SBB-Anlagen",260,"kantonal",171,0,81.86,"Umwelt+Verkehr"
2001-09-23,"Volksinitiative: ""Tragbare Krankenkassenprämien""",259,"kantonal",47,124,51.28,"Gesundheit"
2001-09-23,"Änderung Gesundheitsgesetz",258,"kantonal",25,146,45.96,"Gesundheit"
2001-12-02,"Volksinitiative «Solidarität schafft Sicherheit: Für einen freiwilligen zivilen Friedensdienst»",190,"eidgenössisch",0,160,24.84,"Sicherheit+Armee"
2001-12-02,"Volksinitiative «für eine glaubwürdige Sicherheitspolitik und eine Schweiz ohne Armee»",189,"eidgenössisch",0,160,22.73,"Sicherheit+Armee"
2001-12-02,"Volksinitiative «für eine gesicherte AHV – Energie statt Arbeit besteuern!»",188,"eidgenössisch",0,160,27.01,"Soziales"
2001-12-02,"Bundesbeschluss über eine Schuldenbremse",187,"eidgenössisch",160,0,85.29,"Finanzen"
2001-12-02,"Volksinitiative «für eine Kapitalgewinnsteuer»",191,"eidgenössisch",0,160,33.81,"Wirtschaft"
2001-12-02,"Volksinitiative: ""Einheitliche Polizei für den Kanton Zürich""",257,"kantonal",1,170,35.22,"Law+Order"
2002-01-13,"Kredit an eine neue schweizerische Luftfahrtgesellschaft",2000,"kantonal",121,50,55.5,"Finanzen"
2002-01-13,"Bewlligung für betriebsnotwendige Systeme am Flughafen Zürich",2001,"kantonal",166,5,67.63,"Umwelt+Verkehr"
2002-03-03,"Volksinitiative «für den Beitritt der Schweiz zur Organisation der Vereinten Nationen (UNO)»",192,"eidgenössisch",106,54,59.78,"Andere"
2002-03-03,"Volksinitiative «für eine kürzere Arbeitszeit»",193,"eidgenössisch",0,160,25.62,"Soziales"
2002-06-02,"Volksinitiative für Mutter und Kind",2102,"eidgenössisch",0,171,14.61,"Soziales"
2002-06-02,"Schweizerisches Strafgesetzbuch (Schwangerschaftsabbruch: Fristenregelung)",2101,"eidgenössisch",171,0,77.49,"Kirche+Staat"
